,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,Intercept,-4.094e-16,    0.024, -1.7e-14, 1.000,   -0.048,    0.048
2,kg_Avg_Price_Super_Bacon_Thick_454g,   -0.1118,    0.063,   -1.767, 0.080,   -0.237,    0.014
3,kg_Avg_Price_Super_Bacon_Thick_681g,    0.0909,    0.104,    0.872, 0.385,   -0.116,    0.298
4,Promos__Super_Bacon_Thick_454g_lowDisp,    0.0163,    0.036,    0.457, 0.648,   -0.054,    0.087
5,Promos__Super_Bacon_Thick_454g_Disp,   -0.0092,    0.041,   -0.226, 0.821,   -0.090,    0.071
6,Promos__Super_Bacon_Thick_454g_Other,    0.0583,    0.043,    1.349, 0.180,   -0.027,    0.144
7,Promos__Super_Bacon_Thick_454g_low_Money_Off,    0.0880,    0.040,    2.192, 0.031,    0.008,    0.168
8,Promos__Super_Bacon_Thick_454g_MB,    0.3071,    0.036,    8.482, 0.000,    0.235,    0.379
9,Promos__Super_Bacon_Thick_454g_2for3pn,    0.2139,    0.036,    5.933, 0.000,    0.142,    0.285
10,Promos__Super_Bacon_Thick_454g_TPR,    0.8354,    0.061,   13.587, 0.000,    0.713,    0.957
11,Promos__Super_Bacon_Thick_681g_Disp,   -0.0136,    0.045,   -0.301, 0.764,   -0.103,    0.076
12,Promos__Super_Bacon_Thick_681g_TPR,   -0.1002,    0.064,   -1.568, 0.120,   -0.227,    0.026
13,Promos__Super_Bacon_Thick_681g_Half_Price,   -0.1562,    0.096,   -1.626, 0.107,   -0.347,    0.034
14,Promos__Super_Bacon_Thin_340g_Disp,    0.0267,    0.031,    0.866, 0.389,   -0.034,    0.088
15,Promos__Super_Bacon_Thin_340g_Money_Off,    0.0071,    0.031,    0.227, 0.821,   -0.055,    0.069
16,Economy_Consumer_Confidence_Index_,   -0.0663,    0.048,   -1.388, 0.168,   -0.161,    0.028
17,Horse_Meat_Scandal,    0.0279,    0.037,    0.761, 0.448,   -0.045,    0.100
18,Super_Bacon_Media__Bacon__TV_Spend,    0.0437,    0.034,    1.285, 0.202,   -0.024,    0.111
19,Super_Bacon_Media__Press__Spend,   -0.0379,    0.030,   -1.270, 0.207,   -0.097,    0.021
20,Super_Bacon_Media__Facebook_Spend,   -0.0283,    0.033,   -0.845, 0.400,   -0.095,    0.038
21,Super_Bacon_Media__TV_Sponsorship,    0.0300,    0.031,    0.978, 0.330,   -0.031,    0.091
22,Seasonality__Average_Temperature_C,    0.1414,    0.086,    1.654, 0.101,   -0.028,    0.311
23,Seasonality__Snow_,    0.0390,    0.035,    1.108, 0.270,   -0.031,    0.109
24,Seasonality__Precipitation_,   -0.0303,    0.035,   -0.854, 0.395,   -0.101,    0.040
25,Seasonality__Sunshine_,   -0.0173,    0.053,   -0.324, 0.747,   -0.123,    0.088
26,Seasonality__New_Years_Day,   -0.0528,    0.049,   -1.080, 0.283,   -0.150,    0.044
27,Seasonality__Valentines_Day,   -0.0130,    0.032,   -0.408, 0.684,   -0.076,    0.050
28,Seasonality__Easter_Monday_BH,   -0.0706,    0.039,   -1.796, 0.075,   -0.149,    0.007
29,Seasonality__Early_May_BH,   -0.0453,    0.041,   -1.102, 0.273,   -0.127,    0.036
30,Seasonality__Spring_BH,   -0.0270,    0.046,   -0.591, 0.555,   -0.117,    0.063
31,Seasonality__Summer_BH,   -0.0817,    0.040,   -2.038, 0.044,   -0.161,   -0.002
32,Seasonality__Christmas,   -0.1584,    0.063,   -2.510, 0.014,   -0.284,   -0.033
33,Seasonality__New_Years_Eve,   -0.0063,    0.038,   -0.166, 0.869,   -0.082,    0.070
34,Seasonality__Royal_Wedding_BH,    0.0325,    0.034,    0.956, 0.341,   -0.035,    0.100
35,Seasonality__Diamond_Jubilee_BH,   -0.0236,    0.037,   -0.642, 0.522,   -0.096,    0.049
36,Seasonality__All_Bank_Holidays,    0.2156,    0.092,    2.353, 0.020,    0.034,    0.397
37,Seasonality__2012_London_Olympics,   -0.0239,    0.029,   -0.812, 0.418,   -0.082,    0.034
38,Seasonality__2011_Riots,    0.0401,    0.026,    1.521, 0.131,   -0.012,    0.092
39,Seasonality__Football_Euros,    0.0089,    0.039,    0.229, 0.819,   -0.068,    0.086
40,Seasonality__Mothers_Day,    0.0060,    0.028,    0.213, 0.832,   -0.050,    0.062
41,Seasonality__Fathers_Day,   -0.0490,    0.030,   -1.610, 0.110,   -0.109,    0.011
42,Seasonality__St_Patricks_Day,    0.0010,    0.029,    0.035, 0.972,   -0.056,    0.058
43,Month_1,    0.0314,    0.039,    0.810, 0.420,   -0.045,    0.108
44,Month_2,    0.0429,    0.039,    1.090, 0.278,   -0.035,    0.121
45,Month_3,   -0.0271,    0.035,   -0.775, 0.440,   -0.096,    0.042
46,Month_4,    0.0374,    0.040,    0.932, 0.353,   -0.042,    0.117
47,Month_5,   -0.0112,    0.029,   -0.381, 0.704,   -0.070,    0.047
48,Month_6,   -0.0634,    0.045,   -1.407, 0.162,   -0.153,    0.026
49,Month_7,   -0.0495,    0.037,   -1.337, 0.184,   -0.123,    0.024
50,Month_8,   -0.0447,    0.040,   -1.116, 0.267,   -0.124,    0.035
51,Month_9,   -0.0918,    0.030,   -3.068, 0.003,   -0.151,   -0.033
52,Month_10,   -0.0033,    0.027,   -0.125, 0.901,   -0.056,    0.049
53,Month_11,    0.0746,    0.031,    2.432, 0.017,    0.014,    0.135
54,Month_12,    0.1037,    0.038,    2.759, 0.007,    0.029,    0.178
